"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens"
"179","0.2","0.01","1","2","7.7","100","1e+06","400","20","8000","4e+04","0.2"
"180","0.3","0.01","1","2","11.2","100","1e+06","400","20","8000","4e+04","0.2"
"181","0.1","0.01","1","2","7.8","100","1e+06","400","20","8000","4e+04","0.2"
"182","0.2","0.01","1","2","8.8","100","1e+06","400","20","8000","4e+04","0.2"
"183","0.3","0.01","1","2","11.6","100","1e+06","400","20","8000","4e+04","0.2"
"184","0.1","0.01","1","2","8.3","100","1e+06","400","20","8000","4e+04","0.2"
"185","0.2","0.01","1","2","8.5","100","1e+06","400","20","8000","4e+04","0.2"
"186","0.3","0.01","1","2","7.8","100","1e+06","400","20","8000","4e+04","0.2"
"187","0.1","0.01","1","2","10.3","100","1e+06","400","20","8000","4e+04","0.2"
"188","0.2","0.01","1","2","10","100","1e+06","400","20","8000","4e+04","0.2"
"189","0.3","0.01","1","2","7.9","100","1e+06","400","20","8000","4e+04","0.2"
"190","0.1","0.01","1","2","8.2","100","1e+06","400","20","8000","4e+04","0.2"
"191","0.2","0.01","1","2","8.1","100","1e+06","400","20","8000","4e+04","0.2"
"192","0.3","0.01","1","2","9.7","100","1e+06","400","20","8000","4e+04","0.2"
"193","0.1","0.01","1","2","11.1","100","1e+06","400","20","8000","4e+04","0.2"
"194","0.2","0.01","1","2","9","100","1e+06","400","20","8000","4e+04","0.2"
"195","0.3","0.01","1","2","8","100","1e+06","400","20","8000","4e+04","0.2"
"196","0.1","0.01","1","2","8.3","100","1e+06","400","20","8000","4e+04","0.2"
"197","0.2","0.01","1","2","8.5","100","1e+06","400","20","8000","4e+04","0.2"
"198","0.3","0.01","1","2","10.9","100","1e+06","400","20","8000","4e+04","0.2"
"199","0.1","0.01","1","2","12.8","100","1e+06","400","20","8000","4e+04","0.2"
"200","0.2","0.01","1","2","7.7","100","1e+06","400","20","8000","4e+04","0.2"
"201","0.3","0.01","1","2","12.3","100","1e+06","400","20","8000","4e+04","0.2"
"202","0.1","0.01","1","2","8","100","1e+06","400","20","8000","4e+04","0.2"
"203","0.2","0.01","1","2","10.2","100","1e+06","400","20","8000","4e+04","0.2"
"204","0.3","0.01","1","2","8.6","100","1e+06","400","20","8000","4e+04","0.2"
"205","0.1","0.01","1","2","8.1","100","1e+06","400","20","8000","4e+04","0.2"
"206","0.2","0.01","2","2","8.8","100","1e+06","400","20","8000","4e+04","0.2"
"207","0.3","0.01","2","2","8.6","100","1e+06","400","20","8000","4e+04","0.2"
"208","0.1","0.01","1","2","10.4","100","1e+06","400","20","8000","4e+04","0.2"
"209","0.2","0.01","1","2","10.1","100","1e+06","400","20","8000","4e+04","0.2"
"210","0.3","0.01","1","2","9.1","100","1e+06","400","20","8000","4e+04","0.2"
"211","0.1","0.01","1","2","10.3","100","1e+06","400","20","8000","4e+04","0.2"
"212","0.2","0.01","1","2","10.8","100","1e+06","400","20","8000","4e+04","0.2"
"213","0.3","0.01","1","2","10.3","100","1e+06","400","20","8000","4e+04","0.2"
"214","0.1","0.01","1","2","8.9","100","1e+06","400","20","8000","4e+04","0.2"
"215","0.2","0.01","1","2","8.7","100","1e+06","400","20","8000","4e+04","0.2"
"216","0.3","0.01","2","2","9.9","100","1e+06","400","20","8000","4e+04","0.2"
"217","0.1","0.01","1","2","10.2","100","1e+06","400","20","8000","4e+04","0.2"
"218","0.2","0.01","1","2","8.9","100","1e+06","400","20","8000","4e+04","0.2"
"219","0.3","0.01","1","2","8.3","100","1e+06","400","20","8000","4e+04","0.2"
"220","0.1","0.01","1","2","7","100","1e+06","400","20","8000","4e+04","0.2"
"221","0.2","0.01","1","2","10.2","100","1e+06","400","20","8000","4e+04","0.2"
"222","0.3","0.01","1","2","10.4","100","1e+06","400","20","8000","4e+04","0.2"
"223","0.1","0.01","2","2","8.5","100","1e+06","400","20","8000","4e+04","0.2"
"224","0.2","0.01","1","2","10.3","100","1e+06","400","20","8000","4e+04","0.2"
"225","0.3","0.01","1","2","9.2","100","1e+06","400","20","8000","4e+04","0.2"
"226","0.1","0.01","1","2","8.8","100","1e+06","400","20","8000","4e+04","0.2"
"227","0.2","0.01","1","2","8.9","100","1e+06","400","20","8000","4e+04","0.2"
"228","0.3","0.01","1","2","9.5","100","1e+06","400","20","8000","4e+04","0.2"
"229","0.1","0.01","1","2","9.4","100","1e+06","400","20","8000","4e+04","0.2"
"230","0.2","0.01","1","2","8.2","100","1e+06","400","20","8000","4e+04","0.2"
"231","0.3","0.01","1","2","6.5","100","1e+06","400","20","8000","4e+04","0.2"
"232","0.1","0.01","1","2","8.5","100","1e+06","400","20","8000","4e+04","0.2"
"233","0.2","0.01","1","2","9.8","100","1e+06","400","20","8000","4e+04","0.2"
"234","0.3","0.01","2","2","6.8","100","1e+06","400","20","8000","4e+04","0.2"
"235","0.1","0.01","1","2","8.2","100","1e+06","400","20","8000","4e+04","0.2"
"236","0.2","0.01","1","2","7.2","100","1e+06","400","20","8000","4e+04","0.2"
"237","0.3","0.01","1","2","8.9","100","1e+06","400","20","8000","4e+04","0.2"
"238","0.1","0.01","1","2","7.5","100","1e+06","400","20","8000","4e+04","0.2"
"239","0.2","0.01","1","2","9.7","100","1e+06","400","20","8000","4e+04","0.2"
"240","0.3","0.01","1","2","9","100","1e+06","400","20","8000","4e+04","0.2"
"241","0.1","0.01","1","2","8.4","100","1e+06","400","20","8000","4e+04","0.2"
"242","0.2","0.01","1","2","13.5","100","1e+06","400","20","8000","4e+04","0.2"
"243","0.3","0.01","1","2","11.5","100","1e+06","400","20","8000","4e+04","0.2"
"244","0.1","0.01","1","2","11.2","100","1e+06","400","20","8000","4e+04","0.2"
"245","0.2","0.01","1","2","9.1","100","1e+06","400","20","8000","4e+04","0.2"
"246","0.3","0.01","1","2","9.6","100","1e+06","400","20","8000","4e+04","0.2"
"247","0.1","0.01","1","2","8.3","100","1e+06","400","20","8000","4e+04","0.2"
"248","0.2","0.01","1","2","8.9","100","1e+06","400","20","8000","4e+04","0.2"
"249","0.3","0.01","1","2","9.4","100","1e+06","400","20","8000","4e+04","0.2"
"250","0.1","0.01","1","2","10.8","100","1e+06","400","20","8000","4e+04","0.2"
"251","0.2","0.01","1","2","12.6","100","1e+06","400","20","8000","4e+04","0.2"
"252","0.3","0.01","1","2","7.8","100","1e+06","400","20","8000","4e+04","0.2"
"253","0.1","0.01","1","2","8.7","100","1e+06","400","20","8000","4e+04","0.2"
"254","0.2","0.01","1","2","8.6","100","1e+06","400","20","8000","4e+04","0.2"
"255","0.3","0.01","1","2","8.4","100","1e+06","400","20","8000","4e+04","0.2"
"256","0.1","0.01","1","2","7.7","100","1e+06","400","20","8000","4e+04","0.2"
"257","0.2","0.01","1","2","8.7","100","1e+06","400","20","8000","4e+04","0.2"
"258","0.3","0.01","2","2","9","100","1e+06","400","20","8000","4e+04","0.2"
