"","log.scholarRefs.","NumberOfSubspecies","log.mass.","log.distrSize.","rand","log.scholarRefs..NumberOfSubspecies","AIC","boot","lambda","attempt","predictors","beta (Intercept)","beta log(scholarRefs)","beta NumberOfSubspecies","beta log(mass)","beta log(distrSize)","beta rand","beta log(scholarRefs):NumberOfSubspecies","dAIC","weight"
"84",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,941.109961469979,3,0.0268030327262256,2,"log(mass)",1.435229894456,NA,NA,0.376338321977278,NA,NA,NA,58.7832752967935,5.02862261608752e-14
"85",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,931.526765286748,3,0.0686008868329365,1,"log(distrSize)",-14.1153035085656,NA,NA,NA,0.582415048188426,NA,NA,49.2000791135632,6.05917721923319e-12
"86",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,943.823302341109,3,0.0351727404571444,1,"rand",2.18349722243185,NA,NA,NA,NA,0.915323189033256,NA,61.4966161679234,1.29495465263425e-14
"87",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,892.302688880896,3,0.110831821904477,1,"log(scholarRefs) + NumberOfSubspecies",-3.23813389277484,0.847552096082199,0.187814987766102,NA,NA,NA,NA,9.97600270771056,0.0019944062448995
"88",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,898.36038313352,3,0.105715579973185,1,"log(scholarRefs) + log(mass)",-4.34856267918991,0.968721277443174,NA,0.314999831339859,NA,NA,NA,16.0336969603351,9.64721665405346e-05
"89",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,899.127688832345,3,0.139888053016899,1,"log(scholarRefs) + log(distrSize)",-9.43785669722975,0.911310002571796,NA,NA,0.224694890860704,NA,NA,16.8010026591602,6.573303978183e-05
"90",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,900.348721577988,3,0.124987852219187,1,"log(scholarRefs) + rand",-3.71831703340934,0.98571835496869,NA,NA,NA,0.557438510048672,NA,18.0220354048025,3.56976662276989e-05
"91",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,920.113591543997,3,0.0544589877314132,1,"NumberOfSubspecies + log(mass)",0.284696674285031,NA,0.312346059160059,0.408614306847096,NA,NA,NA,37.7869053708122,1.82285802145919e-09
"92",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,914.053617215611,3,0.0728516067850679,1,"NumberOfSubspecies + log(distrSize)",-12.5267481295626,NA,0.282316909220673,NA,0.494224605538529,NA,NA,31.7269310424257,3.77276321798713e-08
"93",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,924.60121700091,3,0.0581690959705025,1,"NumberOfSubspecies + rand",1.33089246911758,NA,0.304242322679932,NA,NA,0.569549788181163,NA,42.2745308277246,1.93320254100361e-10
