"","log.scholarRefs.","log.Nm.","log.mass.","log.distrSize.","rand","AIC","boot","lambda","attempt","predictors","dAIC","weight"
"80",FALSE,FALSE,FALSE,TRUE,TRUE,143.870375731691,3,0.1181507217174,1,"log(distrSize) + rand",74.4868519690806,6.53261602937827e-17
"81",TRUE,TRUE,TRUE,FALSE,FALSE,76.8758724629269,3,-6.71175582948554,2,"log(scholarRefs) + log(Nm) + log(mass)",7.49234870031682,0.0230546575649153
"82",TRUE,TRUE,FALSE,TRUE,FALSE,140.608690900784,3,0.206626627541732,1,"log(scholarRefs) + log(Nm) + log(distrSize)",71.2251671381735,3.33697531566625e-16
"83",TRUE,TRUE,FALSE,FALSE,TRUE,140.873067126773,3,0.146591310361882,1,"log(scholarRefs) + log(Nm) + rand",71.4895433641624,2.92377821627646e-16
"84",TRUE,FALSE,TRUE,TRUE,FALSE,85.6764751770408,3,-5.12141415020007,1,"log(scholarRefs) + log(mass) + log(distrSize)",16.2929514144307,2.82964581049791e-04
"85",TRUE,FALSE,TRUE,FALSE,TRUE,104.141276585498,3,-3.60307649626781,2,"log(scholarRefs) + log(mass) + rand",34.7577528228875,2.76790638370948e-08
"86",TRUE,FALSE,FALSE,TRUE,TRUE,140.540660969687,3,0.21744955543626,1,"log(scholarRefs) + log(distrSize) + rand",71.1571372070773,3.45243496181486e-16
"87",FALSE,TRUE,TRUE,TRUE,FALSE,115.739742810343,3,-4.13967574993174,1,"log(Nm) + log(mass) + log(distrSize)",46.3562190477332,8.38641708036626e-11
"88",FALSE,TRUE,TRUE,FALSE,TRUE,141.967448171426,3,-0.954568773277031,1,"log(Nm) + log(mass) + rand",72.5839244088162,1.69161918393721e-16
"89",FALSE,TRUE,FALSE,TRUE,TRUE,145.754291970463,3,0.101552865639215,1,"log(Nm) + log(distrSize) + rand",76.370768207853,2.54682977627011e-17
"90",FALSE,FALSE,TRUE,TRUE,TRUE,115.008365926444,3,-3.61006185537142,1,"log(mass) + log(distrSize) + rand",45.6248421638336,1.20890710419243e-10
"91",TRUE,TRUE,TRUE,TRUE,FALSE,141.05898866598,3,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize)",71.67546490337,2.66423222381422e-16
"92",TRUE,TRUE,TRUE,FALSE,TRUE,69.3835237626101,3,-9.80927770539425,1,"log(scholarRefs) + log(Nm) + log(mass) + rand",0,0.976565830452915
"93",TRUE,TRUE,FALSE,TRUE,TRUE,143.557241996531,3,0.197343939781638,1,"log(scholarRefs) + log(Nm) + log(distrSize) + rand",74.1737182339212,7.63982233020158e-17
"94",TRUE,FALSE,TRUE,TRUE,TRUE,87.828867613414,3,-5.15832146249347,1,"log(scholarRefs) + log(mass) + log(distrSize) + rand",18.4453438508039,9.64597204286664e-05
"95",FALSE,TRUE,TRUE,TRUE,TRUE,114.357858927622,3,-3.98038212157231,2,"log(Nm) + log(mass) + log(distrSize) + rand",44.9743351650119,1.67358868032119e-10
"96",TRUE,TRUE,TRUE,TRUE,TRUE,144.274646789149,3,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize) + rand",74.891123026539,5.33704405198328e-17
"97",FALSE,FALSE,FALSE,FALSE,FALSE,118.431463660977,4,-0.221352153220703,2,"1",65.2493765477203,6.78069008939519e-15
"98",TRUE,FALSE,FALSE,FALSE,FALSE,136.044595357054,4,0.150804971873433,1,"log(scholarRefs)",82.8625082437977,1.01538546696985e-18
"99",FALSE,TRUE,FALSE,FALSE,FALSE,125.77812921828,4,-0.221352153206642,1,"log(Nm)",72.5960421050231,1.72173274603267e-16
"100",FALSE,FALSE,TRUE,FALSE,FALSE,136.969888150223,4,-0.962525436160505,1,"log(mass)",83.7878010369669,6.39302151527953e-19
"101",FALSE,FALSE,FALSE,TRUE,FALSE,142.124128998979,4,0.0812862580547989,1,"log(distrSize)",88.9420418857227,4.85821786315057e-20
"102",FALSE,FALSE,FALSE,FALSE,TRUE,121.458662486313,4,-0.221352153220695,2,"rand",68.2765753730568,1.49254015015801e-15
"103",TRUE,TRUE,FALSE,FALSE,FALSE,138.587892573984,4,0.137566157415679,1,"log(scholarRefs) + log(Nm)",85.405805460727,2.84682630141994e-19
"104",TRUE,FALSE,TRUE,FALSE,FALSE,102.607616488755,4,-3.38553024980044,1,"log(scholarRefs) + log(mass)",49.4255293754984,1.85088165160771e-11
"105",TRUE,FALSE,FALSE,TRUE,FALSE,137.856107782131,4,0.224305643016117,1,"log(scholarRefs) + log(distrSize)",84.6740206688749,4.10455441971847e-19
"106",TRUE,FALSE,FALSE,FALSE,TRUE,138.480368476244,4,0.153145580347578,1,"log(scholarRefs) + rand",85.2982813629876,3.00406642010575e-19
"107",FALSE,TRUE,TRUE,FALSE,FALSE,148.647399615083,4,NA,5,"log(Nm) + log(mass)",95.4653125018261,1.86194466576825e-21
"108",FALSE,TRUE,FALSE,TRUE,FALSE,143.410194257492,4,0.0763829747693659,1,"log(Nm) + log(distrSize)",90.2281071442351,2.55394455063616e-20
"109",FALSE,TRUE,FALSE,FALSE,TRUE,122.129648224824,4,-0.221352153220681,3,"log(Nm) + rand",68.9475611115672,1.06714472235712e-15
"110",FALSE,FALSE,TRUE,TRUE,FALSE,119.051741559007,4,-3.7713455597814,1,"log(mass) + log(distrSize)",65.8696544457503,4.9725855233021e-15
"111",FALSE,FALSE,TRUE,FALSE,TRUE,149.496945112404,4,NA,5,"log(mass) + rand",96.3148579991478,1.21755982472669e-21
"112",FALSE,FALSE,FALSE,TRUE,TRUE,144.516262828306,4,0.0974929093799013,1,"log(distrSize) + rand",91.334175715049,1.46903358757581e-20
"113",TRUE,TRUE,TRUE,FALSE,FALSE,76.8758724629269,4,-6.71175582948554,2,"log(scholarRefs) + log(Nm) + log(mass)",23.6937853496704,7.16070644743281e-06
"114",TRUE,TRUE,FALSE,TRUE,FALSE,140.608690900784,4,0.206626627541732,1,"log(scholarRefs) + log(Nm) + log(distrSize)",87.426603787527,1.03645437328807e-19
"115",TRUE,TRUE,FALSE,FALSE,TRUE,141.231052447492,4,0.133265362932056,1,"log(scholarRefs) + log(Nm) + rand",88.0489653342358,7.59287229707049e-20
"116",TRUE,FALSE,TRUE,TRUE,FALSE,85.6764751770408,4,-5.12141415020007,1,"log(scholarRefs) + log(mass) + log(distrSize)",32.4943880637843,8.78879373598628e-08
"117",TRUE,FALSE,TRUE,FALSE,TRUE,79.457807746909,4,-11.0820706884833,1,"log(scholarRefs) + log(mass) + rand",26.2757206336525,1.96922684245649e-06
"118",TRUE,FALSE,FALSE,TRUE,TRUE,140.6678360395,4,0.221867107262594,1,"log(scholarRefs) + log(distrSize) + rand",87.4857489262432,1.00625252854188e-19
