"","binomial","virusSpecies","NumberOfSubspecies","Genus","Family","familyPlotCol","mass","distrSize","pubmedRefs","scholarRefs","SubspeciesFactor"
"Mormoops megalophylla","Mormoops megalophylla",3,4,"Mormoops","Mormoopidae","Other",16.09,3738685972010.87,9,806,"4"
"Murina leucogaster","Murina leucogaster",2,2,"Murina","Vespertilionidae","Vespertilionidae",7.54,616310130370.431,12,447,"2"
"Myonycteris torquata","Myonycteris torquata",1,1,"Myonycteris","Pteropodidae","Pteropodidae",44.92,4524076357417.03,5,442,"1"
"Myotis albescens","Myotis albescens",1,1,"Myotis","Vespertilionidae","Vespertilionidae",5.69,14595013005681,4,545,"1"
"Myotis austroriparius","Myotis austroriparius",1,1,"Myotis","Vespertilionidae","Vespertilionidae",7.35,832901781706.51,5,751,"1"
"Myotis blythii","Myotis blythii",2,4,"Myotis","Vespertilionidae","Vespertilionidae",23.82,6194600103415.88,6,1500,"4"
"Myotis californicus","Myotis californicus",2,4,"Myotis","Vespertilionidae","Vespertilionidae",4.39,3984786064019.1,6,1290,"4"
"Myotis chinensis","Myotis chinensis",1,1,"Myotis","Vespertilionidae","Vespertilionidae",41.99,2263217894405.74,3,141,"1"
"Myotis dasycneme","Myotis dasycneme",2,1,"Myotis","Vespertilionidae","Vespertilionidae",15.16,5424340226193.12,10,1750,"1"
"Myotis daubentonii","Myotis daubentonii",2,7,"Myotis","Vespertilionidae","Vespertilionidae",7.63,14654913062472.4,53,3670,"7"
"Myotis evotis","Myotis evotis",2,6,"Myotis","Vespertilionidae","Vespertilionidae",6.91,3163297003102.39,5,1410,"6"
"Myotis grisescens","Myotis grisescens",1,1,"Myotis","Vespertilionidae","Vespertilionidae",10.84,853015925472.621,7,1520,"1"
"Myotis horsfieldii","Myotis horsfieldii",1,5,"Myotis","Vespertilionidae","Vespertilionidae",6.05,2562280059101.17,0,103,"5"
"Myotis leibii","Myotis leibii",1,1,"Myotis","Vespertilionidae","Vespertilionidae",5.22,1423165264280.12,0,725,"1"
"Myotis levis","Myotis levis",1,2,"Myotis","Vespertilionidae","Vespertilionidae",5.49,1393858707316.4,3,259,"2"
"Myotis lucifugus","Myotis lucifugus",8,5,"Myotis","Vespertilionidae","Vespertilionidae",7.8,12040881905320.1,298,9720,"5"
"Myotis macrodactylus","Myotis macrodactylus",1,3,"Myotis","Vespertilionidae","Vespertilionidae",7.48,682552489509.352,6,319,"3"
"Myotis myotis","Myotis myotis",6,2,"Myotis","Vespertilionidae","Vespertilionidae",25.59,3874579921200.67,137,8880,"2"
"Myotis mystacinus","Myotis mystacinus",2,3,"Myotis","Vespertilionidae","Vespertilionidae",5.9,4972347134194.28,15,2530,"3"
"Myotis nattereri","Myotis nattereri",2,2,"Myotis","Vespertilionidae","Vespertilionidae",7.25,5867922798263.55,27,2940,"2"
"Myotis nigricans","Myotis nigricans",3,4,"Myotis","Vespertilionidae","Vespertilionidae",11,14380226708349,23,1710,"4"
"Myotis occultus","Myotis occultus",1,1,"Myotis","Vespertilionidae","Vespertilionidae",8.79,996794931309.634,0,193,"1"
"Myotis ricketti","Myotis ricketti",3,1,"Myotis","Vespertilionidae","Vespertilionidae",22.5,987178166515.914,11,421,"1"
"Myotis riparius","Myotis riparius",1,1,"Myotis","Vespertilionidae","Vespertilionidae",4.57,14110136661059.1,0,440,"1"
"Myotis septentrionalis","Myotis septentrionalis",4,1,"Myotis","Vespertilionidae","Vespertilionidae",7.82,4946390394790.15,13,1520,"1"
"Myotis thysanodes","Myotis thysanodes",1,4,"Myotis","Vespertilionidae","Vespertilionidae",8.49,3472250620947.4,8,1260,"4"
"Myotis velifer","Myotis velifer",1,5,"Myotis","Vespertilionidae","Vespertilionidae",9.82,1953954931364.23,19,1720,"5"
"Myotis volans","Myotis volans",2,4,"Myotis","Vespertilionidae","Vespertilionidae",8.71,4711968980552.35,7,1080,"4"
"Myotis yumanensis","Myotis yumanensis",1,6,"Myotis","Vespertilionidae","Vespertilionidae",5.15,4063522233680.98,7,1230,"6"
"Natalus stramineus","Natalus stramineus",1,6,"Natalus","Natalidae","Other",5.68,4473043050.0319,4,675,"6"
"Natalus tumidirostris","Natalus tumidirostris",4,3,"Natalus","Natalidae","Other",6.3,1593545295291.56,0,19,"3"
"Nyctalus leisleri","Nyctalus leisleri",1,2,"Nyctalus","Vespertilionidae","Vespertilionidae",12.47,5170686320175.58,9,2220,"2"
"Nyctalus noctula","Nyctalus noctula",8,4,"Nyctalus","Vespertilionidae","Vespertilionidae",28.48,8033970720343.34,37,4670,"4"
"Nyctalus plancyi","Nyctalus plancyi",1,2,"Nyctalus","Vespertilionidae","Vespertilionidae",19.7,1917713267830.91,6,75,"2"
"Nycteris gambiensis","Nycteris gambiensis",3,1,"Nycteris","Nycteridae","Other",7.13,1860948576621.12,0,62,"1"
"Nycteris nana","Nycteris nana",1,1,"Nycteris","Nycteridae","Other",6.98,2938128294618.55,0,42,"1"
"Nycteris thebaica","Nycteris thebaica",1,8,"Nycteris","Nycteridae","Other",9.2,14397362888077.7,7,625,"8"
"Nycticeius humeralis","Nycticeius humeralis",1,3,"Nycticeius","Vespertilionidae","Vespertilionidae",9.12,2883260060918.98,9,1440,"3"
"Nyctinomops laticaudatus","Nyctinomops laticaudatus",1,5,"Nyctinomops","Molossidae","Molossidae",13.12,13101230903858.6,11,511,"5"
"Nyctinomops macrotis","Nyctinomops macrotis",1,1,"Nyctinomops","Molossidae","Molossidae",16.38,15743813370418.6,8,641,"1"
