,virus.family,virus.genus,virus.species,host.genus,host.species,binomial,inTaxonomy,Species Count,Keep,binomial
90,Flaviviridae,Flavivirus,Tamana bat virus,Desmodus,rotundus,Desmodus rotundus,FALSE,,,Desmodus rotundus
91,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Desmodus,rotundus,Desmodus rotundus,TRUE,,,Desmodus rotundus
92,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus,Desmodus,rotundus,Desmodus rotundus,TRUE,7,,Desmodus rotundus
93,Rhabdoviridae,Lyssavirus,Rabies virus,Diaemus,youngi,Diaemus youngi,TRUE,1,,Diaemus youngi
94,Rhabdoviridae,Lyssavirus,Rabies virus,Diphylla,ecaudata,Diphylla ecaudata,TRUE,1,,Diphylla ecaudata
95,Paramyxoviridae,Henipavirus,Hendra virus,Dobsonia,anderseni,Dobsonia anderseni,TRUE,1,,Dobsonia anderseni
96,Paramyxoviridae,Henipavirus,Hendra virus,Dobsonia,moluccensis,Dobsonia moluccensis,TRUE,1,,Dobsonia moluccensis
97,Herpesviridae,unassigned,a herpesvirus,Eidolon,dupreanum,Eidolon dupreanum,FALSE,,,Eidolon dupreanum
98,Paramyxoviridae,Henipavirus,Hendra virus,Eidolon,dupreanum,Eidolon dupreanum,TRUE,,,Eidolon dupreanum
99,Paramyxoviridae,Henipavirus,Nipah virus,Eidolon,dupreanum,Eidolon dupreanum,TRUE,3,,Eidolon dupreanum
100,Herpesviridae,unassigned,a herpesvirus,Eidolon,helvum,Eidolon helvum,FALSE,,,Eidolon helvum
101,Filoviridae,Ebolavirus,Ebola-Zaire virus,Eidolon,helvum,Eidolon helvum,FALSE,,,Eidolon helvum
102,Paramyxoviridae,Henipavirus,Hendra virus,Eidolon,helvum,Eidolon helvum,TRUE,,,Eidolon helvum
103,Reoviridae,Orbivirus,Ife virus,Eidolon,helvum,Eidolon helvum,FALSE,,,Eidolon helvum
104,Rhabdoviridae,Lyssavirus,Lagos bat virus,Eidolon,helvum,Eidolon helvum,TRUE,,,Eidolon helvum
105,Rhabdoviridae,Lyssavirus,Mokola virus,Eidolon,helvum,Eidolon helvum,TRUE,,,Eidolon helvum
106,Herpesviridae,Simplexvirus,simplexvirus,Eidolon,helvum,Eidolon helvum,FALSE,7,,Eidolon helvum
107,Bunyaviridae,unassigned,Issyk-kul,Eonycteris,spelaea,Eonycteris spelaea,FALSE,,,Eonycteris spelaea
108,Flaviviridae,Flavivirus,Kyasanur Forest disease virus,Eonycteris,spelaea,Eonycteris spelaea,TRUE,,,Eonycteris spelaea
109,Paramyxoviridae,Henipavirus,Nipah virus,Eonycteris,spelaea,Eonycteris spelaea,TRUE,,,Eonycteris spelaea
110,Flaviviridae,Flavivirus,Phnom-Penh bat virus,Eonycteris,spelaea,Eonycteris spelaea,FALSE,,,Eonycteris spelaea
111,Rhabdoviridae,Lyssavirus,unidentified,Eonycteris,spelaea,Eonycteris spelaea,FALSE,5,,Eonycteris spelaea
112,Rhabdoviridae,Lyssavirus,Lagos bat virus,Epomophorus,gambianus,Epomophorus gambianus,TRUE,1,,Epomophorus gambianus
113,Rhabdoviridae,Lyssavirus,Lagos bat virus,Epomophorus,wahlbergi,Epomophorus wahlbergi,TRUE,1,,Epomophorus wahlbergi
114,Rhabdoviridae,Lyssavirus,Lagos bat virus,Epomops,dobsonii,Epomops dobsonii,TRUE,1,,Epomops dobsonii
115,Filoviridae,Ebolavirus,Ebola-Zaire virus,Epomops,franqueti,Epomops franqueti,FALSE,,,Epomops franqueti
116,Bunyaviridae,Phlebovirus,Rift Valley fever virus,Epomops,franqueti,Epomops franqueti,TRUE,2,,Epomops franqueti
117,Rhabdoviridae,Lyssavirus,Rabies virus,Eptesicus,brasiliensis,Eptesicus brasiliensis,TRUE,1,,Eptesicus brasiliensis
118,Rhabdoviridae,Lyssavirus,Rabies virus,Eptesicus,diminutus,Eptesicus diminutus,TRUE,1,,Eptesicus diminutus
119,Rhabdoviridae,Lyssavirus,Rabies virus,Eptesicus,furinalis,Eptesicus furinalis,TRUE,1,,Eptesicus furinalis
120,Herpesviridae,unassigned,BatGHV-1,Eptesicus,fuscus,Eptesicus fuscus,FALSE,,,Eptesicus fuscus
121,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Eptesicus,fuscus,Eptesicus fuscus,TRUE,,,Eptesicus fuscus
122,Rhabdoviridae,Lyssavirus,Rabies virus,Eptesicus,fuscus,Eptesicus fuscus,TRUE,,,Eptesicus fuscus
123,Flaviviridae,Flavivirus,Rio Bravo virus,Eptesicus,fuscus,Eptesicus fuscus,TRUE,,,Eptesicus fuscus
124,Coronaviridae,Coronavirus,Rocky Mountain bat coronavirus,Eptesicus,fuscus,Eptesicus fuscus,FALSE,,,Eptesicus fuscus
125,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Eptesicus,fuscus,Eptesicus fuscus,TRUE,,,Eptesicus fuscus
126,Flaviviridae,Flavivirus,West Nile virus,Eptesicus,fuscus,Eptesicus fuscus,TRUE,7,,Eptesicus fuscus
127,Herpesviridae,unassigned,a gammaherpesvirus,Eptesicus,serotinus,Eptesicus serotinus,FALSE,,,Eptesicus serotinus
128,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Eptesicus,serotinus,Eptesicus serotinus,TRUE,,,Eptesicus serotinus
129,Bunyaviridae,Hantavirus,Hantaan virus,Eptesicus,serotinus,Eptesicus serotinus,TRUE,,,Eptesicus serotinus
130,Bunyaviridae,unassigned,Issyk-kul,Eptesicus,serotinus,Eptesicus serotinus,FALSE,3,,Eptesicus serotinus
131,Rhabdoviridae,Lyssavirus,Rabies virus,Euderma,maculatum,Euderma maculatum,TRUE,1,,Euderma maculatum
132,Rhabdoviridae,Lyssavirus,Rabies virus,Eumops,auripendulus,Eumops auripendulus,TRUE,1,,Eumops auripendulus
133,Rhabdoviridae,Lyssavirus,Rabies virus,Eumops,glaucinus,Eumops glaucinus,TRUE,1,,Eumops glaucinus
134,Rhabdoviridae,Lyssavirus,Rabies virus,Eumops,patagonicus,Eumops patagonicus,TRUE,1,,Eumops patagonicus
135,Rhabdoviridae,Lyssavirus,Rabies virus,Eumops,perotis,Eumops perotis,TRUE,1,,Eumops perotis
136,Bunyaviridae,Phlebovirus,Rift Valley fever virus,Glauconycteris,argentata,Glauconycteris argentata,TRUE,1,,Glauconycteris argentata
137,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Glossophaga,commissarisi,Glossophaga commissarisi,TRUE,1,,Glossophaga commissarisi
138,Rhabdoviridae,Lyssavirus,Rabies virus,Glossophaga,morenoi,Glossophaga morenoi,TRUE,1,,Glossophaga morenoi
139,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Glossophaga,soricina,Glossophaga soricina,TRUE,,,Glossophaga soricina
140,Flaviviridae,Flavivirus,Ilheus virus,Glossophaga,soricina,Glossophaga soricina,TRUE,,,Glossophaga soricina
141,Rhabdoviridae,Lyssavirus,Rabies virus,Glossophaga,soricina,Glossophaga soricina,TRUE,,,Glossophaga soricina
142,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Glossophaga,soricina,Glossophaga soricina,TRUE,,,Glossophaga soricina
143,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Glossophaga,soricina,Glossophaga soricina,TRUE,,,Glossophaga soricina
144,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis Indiana virus,Glossophaga,soricina,Glossophaga soricina,TRUE,,,Glossophaga soricina
145,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus,Glossophaga,soricina,Glossophaga soricina,TRUE,,,Glossophaga soricina
146,Flaviviridae,Flavivirus,Yellow Fever virus,Glossophaga,soricina,Glossophaga soricina,FALSE,8,,Glossophaga soricina
147,Bunyaviridae,Phlebovirus,Rift Valley fever virus,Hipposideros,abae,Hipposideros abae,TRUE,1,,Hipposideros abae
148,Coronaviridae,Coronavirus,an alphacoronavirus,Hipposideros,armiger,Hipposideros armiger,FALSE,,,Hipposideros armiger
149,Astroviridae,unassigned,bat astroviruses,Hipposideros,armiger,Hipposideros armiger,FALSE,,,Hipposideros armiger
150,Adenoviridae,Mastadenovirus,Hipposideros adenovirus,Hipposideros,armiger,Hipposideros armiger,FALSE,,,Hipposideros armiger
151,Flaviviridae,Flavivirus,Japanese encephalitis virus,Hipposideros,armiger,Hipposideros armiger,TRUE,,,Hipposideros armiger
152,Paramyxoviridae,Henipavirus,Nipah virus,Hipposideros,armiger,Hipposideros armiger,TRUE,5,,Hipposideros armiger
153,Flaviviridae,Flavivirus,Japanese encephalitis virus,Hipposideros,bicolor,Hipposideros bicolor,TRUE,1,,Hipposideros bicolor
154,Coronaviridae,Coronavirus,Bat CoV,Hipposideros,caffer,Hipposideros caffer,FALSE,,,Hipposideros caffer
155,Togaviridae,Alphavirus,Chikungunya virus,Hipposideros,caffer,Hipposideros caffer,TRUE,,,Hipposideros caffer
156,Bunyaviridae,Phlebovirus,Rift Valley fever virus,Hipposideros,caffer,Hipposideros caffer,TRUE,3,,Hipposideros caffer
157,Flaviviridae,Flavivirus,Japanese encephalitis virus,Hipposideros,cineraceus,Hipposideros cineraceus,TRUE,1,,Hipposideros cineraceus
158,Rhabdoviridae,Lyssavirus,Shimoni bat virus,Hipposideros,commersoni,Hipposideros commersoni,TRUE,1,,Hipposideros commersoni
159,Herpesviridae,unassigned,another bat gammaherpesvirus,Hipposideros,diadema,Hipposideros diadema,FALSE,,,Hipposideros diadema
160,Bunyaviridae,unassigned,Issyk-kul,Hipposideros,diadema,Hipposideros diadema,FALSE,2,,Hipposideros diadema
161,Flaviviridae,Flavivirus,Kyasanur Forest disease virus,Hipposideros,lankadiva,Hipposideros lankadiva,TRUE,1,,Hipposideros lankadiva
162,Coronaviridae,Coronavirus,a betacoronavirus,Hipposideros,larvatus,Hipposideros larvatus,FALSE,,,Hipposideros larvatus
163,Astroviridae,unassigned,bat astroviruses,Hipposideros,larvatus,Hipposideros larvatus,FALSE,2,,Hipposideros larvatus
164,Astroviridae,unassigned,bat astroviruses,Hipposideros,pomona,Hipposideros pomona,FALSE,,,Hipposideros pomona
165,Flaviviridae,Flavivirus,Japanese encephalitis virus,Hipposideros,pomona,Hipposideros pomona,TRUE,2,,Hipposideros pomona
166,Flaviviridae,Flavivirus,Japanese encephalitis virus,Hipposideros,speoris,Hipposideros speoris,TRUE,,,Hipposideros speoris
167,Flaviviridae,Flavivirus,Kyasanur Forest disease virus,Hipposideros,speoris,Hipposideros speoris,TRUE,2,,Hipposideros speoris
168,Rhabdoviridae,Lyssavirus,Rabies virus,Histiotus,montanus,Histiotus montanus,TRUE,1,,Histiotus montanus
169,Rhabdoviridae,Lyssavirus,Rabies virus,Histiotus,velatus,Histiotus velatus,TRUE,1,,Histiotus velatus
170,Filoviridae,Ebolavirus,Ebola-Zaire virus,Hypsignathus,monstrosus,Hypsignathus monstrosus,FALSE,,,Hypsignathus monstrosus
171,Filoviridae,Marburgvirus,Lake Victoria marburg virus,Hypsignathus,monstrosus,Hypsignathus monstrosus,FALSE,2,,Hypsignathus monstrosus
172,Astroviridae,unassigned,bat astroviruses,Ia,io,Ia io,FALSE,1,,Ia io
173,Rhabdoviridae,Lyssavirus,Rabies virus,Lasionycteris,noctivagans,Lasionycteris noctivagans,TRUE,1,,Lasionycteris noctivagans
174,Rhabdoviridae,Lyssavirus,Rabies virus,Lasiurus,blossevillii,Lasiurus blossevillii,TRUE,1,,Lasiurus blossevillii
175,Rhabdoviridae,Lyssavirus,Rabies virus,Lasiurus,borealis,Lasiurus borealis,TRUE,1,,Lasiurus borealis
176,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Lasiurus,cinereus,Lasiurus cinereus,TRUE,,,Lasiurus cinereus
177,Rhabdoviridae,Lyssavirus,Rabies virus,Lasiurus,cinereus,Lasiurus cinereus,TRUE,2,,Lasiurus cinereus
178,Rhabdoviridae,Lyssavirus,Rabies virus,Lasiurus,ega,Lasiurus ega,TRUE,1,,Lasiurus ega
179,Rhabdoviridae,Lyssavirus,Rabies virus,Lasiurus,egregius,Lasiurus egregius,TRUE,1,,Lasiurus egregius
180,Rhabdoviridae,Lyssavirus,Rabies virus,Lasiurus,intermedius,Lasiurus intermedius,TRUE,1,,Lasiurus intermedius
181,Rhabdoviridae,Lyssavirus,Rabies virus,Lasiurus,seminolus,Lasiurus seminolus,TRUE,1,,Lasiurus seminolus
182,Rhabdoviridae,Lyssavirus,Rabies virus,Lasiurus,xanthinus,Lasiurus xanthinus,TRUE,1,,Lasiurus xanthinus
183,Rhabdoviridae,Lyssavirus,Rabies virus,Leptonycteris,curasoae,Leptonycteris curasoae,TRUE,1,,Leptonycteris curasoae
184,Rhabdoviridae,Lyssavirus,Rabies virus,Leptonycteris,nivalis,Leptonycteris nivalis,TRUE,1,,Leptonycteris nivalis
