"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"172",0.6,1e-03,2,66.5666666666667,17.3,10,2,9,100,8e+05
"173",0.1,1e-03,1,137.233333333333,0,10,2,9,100,8e+05
"174",0.2,1e-03,1,138.466666666667,0,10,2,9,100,8e+05
"175",0.4,1e-03,2,96.3333333333333,12.9666666666667,10,2,9,100,8e+05
"176",0.6,1e-03,2,80.0333333333333,16.9666666666667,10,2,9,100,8e+05
"177",0.1,1e-03,1,138.333333333333,0,10,2,9,100,8e+05
"178",0.2,1e-03,1,143.4,0,10,2,9,100,8e+05
"179",0.4,1e-03,2,101.1,8.46666666666667,10,2,9,100,8e+05
"180",0.6,1e-03,2,121.133333333333,4.23333333333333,10,2,9,100,8e+05
"181",0.1,1e-03,1,144.733333333333,0,10,2,9,100,8e+05
"182",0.2,1e-03,1,143.466666666667,0,10,2,9,100,8e+05
"183",0.4,1e-03,2,122.566666666667,4.6,10,2,9,100,8e+05
"184",0.6,1e-03,2,84,16,10,2,9,100,8e+05
"185",0.1,1e-03,1,131.833333333333,0,10,2,9,100,8e+05
"186",0.2,1e-03,1,143.7,0,10,2,9,100,8e+05
"187",0.4,1e-03,2,123.433333333333,3.3,10,2,9,100,8e+05
"188",0.6,1e-03,2,69.9,19.0333333333333,10,2,9,100,8e+05
"189",0.1,1e-03,1,139.733333333333,0,10,2,9,100,8e+05
"190",0.2,1e-03,1,143,0,10,2,9,100,8e+05
"191",0.4,1e-03,2,55.6333333333333,19.8,10,2,9,100,8e+05
"192",0.6,1e-03,2,66.7333333333333,18.8333333333333,10,2,9,100,8e+05
"193",0.1,1e-03,1,143.066666666667,0,10,2,9,100,8e+05
"194",0.2,1e-03,1,148,0,10,2,9,100,8e+05
"195",0.4,1e-03,2,120.533333333333,3.33333333333333,10,2,9,100,8e+05
"196",0.6,1e-03,2,59.1333333333333,20.0333333333333,10,2,9,100,8e+05
"197",0.1,1e-03,1,141.8,0,10,2,9,100,8e+05
"198",0.2,1e-03,1,143.333333333333,0,10,2,9,100,8e+05
"199",0.4,1e-03,2,106.166666666667,10.4666666666667,10,2,9,100,8e+05
"200",0.6,1e-03,2,108.2,8.8,10,2,9,100,8e+05
"201",0.1,1e-03,1,146.6,0,10,2,9,100,8e+05
"202",0.2,1e-03,2,132.733333333333,0.933333333333333,10,2,9,100,8e+05
"203",0.4,1e-03,2,93.2333333333333,14.9,10,2,9,100,8e+05
