"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
10,0.01,4.03636363636364,33.5272727272727,2,10,40,2,2,5e+05,"150405_0141.RData"
2,0.01,138.572727272727,0,1,10,100,9,2,5e+05,"150405_0142.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0143.RData"
10,0.01,148.054545454545,0,1,10,100,9,2,5e+05,"150405_0144.RData"
2,0.01,143.581818181818,0,1,10,40,2,2,5e+05,"150405_0145.RData"
5,0.01,143.881818181818,0,1,10,100,9,2,5e+05,"150405_0146.RData"
10,0.01,4.02727272727273,36.6818181818182,2,10,40,2,2,5e+05,"150405_0147.RData"
2,0.01,145.036363636364,0,1,10,100,9,2,5e+05,"150405_0148.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0149.RData"
10,0.01,3.72727272727273,35.6818181818182,2,10,100,9,2,5e+05,"150405_0150.RData"
2,0.01,142.272727272727,0,1,10,40,2,2,5e+05,"150405_0151.RData"
5,0.01,135.3,0,1,10,100,9,2,5e+05,"150405_0152.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0153.RData"
2,0.01,146.218181818182,0,1,10,100,9,2,5e+05,"150405_0154.RData"
5,0.01,7.51818181818182,35.7727272727273,2,10,40,2,2,5e+05,"150405_0155.RData"
10,0.01,142.945454545455,0,1,10,100,9,2,5e+05,"150405_0156.RData"
2,0.01,138.018181818182,0,1,10,40,2,2,5e+05,"150405_0157.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0158.RData"
10,0.01,3.68181818181818,33.9545454545455,2,10,40,2,2,5e+05,"150405_0159.RData"
2,0.01,141.290909090909,0,1,10,100,9,2,5e+05,"150405_0160.RData"
5,0.01,134.718181818182,0,1,10,40,2,2,5e+05,"150405_0161.RData"
10,0.01,3.96363636363636,35.0363636363636,2,10,100,9,2,5e+05,"150405_0162.RData"
2,0.01,145.190909090909,0,1,10,40,2,2,5e+05,"150405_0163.RData"
5,0.01,7.29090909090909,35.2909090909091,2,10,100,9,2,5e+05,"150405_0164.RData"
10,0.01,4.09090909090909,35.2272727272727,2,10,40,2,2,5e+05,"150405_0165.RData"
2,0.01,141.9,0,1,10,100,9,2,5e+05,"150405_0166.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0167.RData"
10,0.01,3.6,37.0454545454545,2,10,100,9,2,5e+05,"150405_0168.RData"
2,0.01,0,0,0,10,40,2,2,5e+05,"150405_0169.RData"
5,0.01,140.272727272727,0,1,10,100,9,2,5e+05,"150405_0170.RData"
10,0.01,3.99090909090909,36.1181818181818,2,10,40,2,2,5e+05,"150405_0171.RData"
2,0.01,0,0,0,10,100,9,2,5e+05,"150405_0172.RData"
5,0.01,7.21818181818182,36.2,2,10,40,2,2,5e+05,"150405_0173.RData"
10,0.01,4.09090909090909,35.5363636363636,2,10,100,9,2,5e+05,"150405_0174.RData"
2,0.01,146.518181818182,0,1,10,40,2,2,5e+05,"150405_0175.RData"
5,0.01,140.936363636364,0,1,10,100,9,2,5e+05,"150405_0176.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0177.RData"
2,0.01,0,0,0,10,100,9,2,5e+05,"150405_0178.RData"
5,0.01,140.5,0,1,10,40,2,2,5e+05,"150405_0179.RData"
10,0.01,4.08181818181818,37.1636363636364,2,10,100,9,2,5e+05,"150405_0180.RData"
2,0.01,137.154545454545,0,1,10,40,2,2,5e+05,"150405_0181.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0182.RData"
10,0.01,138.127272727273,0,1,10,40,2,2,5e+05,"150405_0183.RData"
2,0.01,0,0,0,10,100,9,2,5e+05,"150405_0184.RData"
5,0.01,147.881818181818,0,1,10,40,2,2,5e+05,"150405_0185.RData"
10,0.01,0,0,0,10,100,9,2,5e+05,"150405_0186.RData"
2,0.01,17.0909090909091,31.2727272727273,2,10,40,2,2,5e+05,"150405_0187.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0188.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0189.RData"
2,0.01,17.0363636363636,32.8363636363636,2,10,100,9,2,5e+05,"150405_0190.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0191.RData"
10,0.01,4.10909090909091,34.7,2,10,100,9,2,5e+05,"150405_0192.RData"
2,0.01,0,0,0,10,40,2,2,5e+05,"150405_0193.RData"
5,0.01,141.7,0,1,10,100,9,2,5e+05,"150405_0194.RData"
10,0.01,138.081818181818,0,1,10,40,2,2,5e+05,"150405_0195.RData"
2,0.01,16.2454545454545,32.7272727272727,2,10,100,9,2,5e+05,"150405_0196.RData"
5,0.01,147.163636363636,0,1,10,40,2,2,5e+05,"150405_0197.RData"
10,0.01,4.01818181818182,33.0272727272727,2,10,100,9,2,5e+05,"150405_0198.RData"
2,0.01,140.054545454545,0,1,10,40,2,2,5e+05,"150405_0199.RData"
5,0.01,7.40909090909091,36.0636363636364,2,10,100,9,2,5e+05,"150405_0200.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0201.RData"
2,0.01,145.690909090909,0,1,10,100,9,2,5e+05,"150405_0202.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0203.RData"
10,0.01,0,0,0,10,100,9,2,5e+05,"150405_0204.RData"
2,0.01,145.527272727273,0,1,10,40,2,2,5e+05,"150405_0205.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0206.RData"
10,0.01,4.22727272727273,35.2454545454545,2,10,40,2,2,5e+05,"150405_0207.RData"
2,0.01,15.7090909090909,34.3272727272727,2,10,100,9,2,5e+05,"150405_0208.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0209.RData"
10,0.01,146.209090909091,0,1,10,100,9,2,5e+05,"150405_0210.RData"
2,0.01,136.227272727273,0,1,10,40,2,2,5e+05,"150405_0211.RData"
5,0.01,139.245454545455,0,1,10,100,9,2,5e+05,"150405_0212.RData"
10,0.01,153.9,0,1,10,40,2,2,5e+05,"150405_0213.RData"
2,0.01,142.809090909091,0,1,10,100,9,2,5e+05,"150405_0214.RData"
5,0.01,139.018181818182,0,1,10,40,2,2,5e+05,"150405_0215.RData"
10,0.01,3.73636363636364,34.4818181818182,2,10,100,9,2,5e+05,"150405_0216.RData"
2,0.01,0,0,0,10,40,2,2,5e+05,"150405_0217.RData"
5,0.01,7.53636363636364,34.7,2,10,100,9,2,5e+05,"150405_0218.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0219.RData"
2,0.01,0,0,0,10,100,9,2,5e+05,"150405_0220.RData"
5,0.01,146.718181818182,0,1,10,40,2,2,5e+05,"150405_0221.RData"
10,0.01,146.545454545455,0,1,10,100,9,2,5e+05,"150405_0222.RData"
2,0.01,144.336363636364,0,1,10,40,2,2,5e+05,"150405_0223.RData"
5,0.01,142.027272727273,0,1,10,100,9,2,5e+05,"150405_0224.RData"
10,0.01,138.2,0,1,10,40,2,2,5e+05,"150405_0225.RData"
2,0.01,138.190909090909,0,1,10,100,9,2,5e+05,"150405_0226.RData"
5,0.01,139.8,0,1,10,40,2,2,5e+05,"150405_0227.RData"
10,0.01,3.96363636363636,35.8,2,10,100,9,2,5e+05,"150405_0228.RData"
2,0.01,141.527272727273,0,1,10,40,2,2,5e+05,"150405_0229.RData"
5,0.01,150.972727272727,0,1,10,100,9,2,5e+05,"150405_0230.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0231.RData"
2,0.01,144.681818181818,0,1,10,100,9,2,5e+05,"150405_0232.RData"
5,0.01,7.90909090909091,32.6545454545455,2,10,40,2,2,5e+05,"150405_0233.RData"
10,0.01,142.8,0,1,10,100,9,2,5e+05,"150405_0234.RData"
2,0.01,146.527272727273,0,1,10,40,2,2,5e+05,"150405_0235.RData"
5,0.01,138.972727272727,0,1,10,100,9,2,5e+05,"150405_0236.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0237.RData"
2,0.01,141.663636363636,0,1,10,100,9,2,5e+05,"150405_0238.RData"
5,0.01,145.936363636364,0,1,10,40,2,2,5e+05,"150405_0239.RData"
10,0.01,3.97272727272727,35.2,2,10,100,9,2,5e+05,"150405_0240.RData"
2,0.01,139.227272727273,0,1,10,40,2,2,5e+05,"150405_0241.RData"
5,0.01,7.38181818181818,36.3818181818182,2,10,100,9,2,5e+05,"150405_0242.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0243.RData"
2,0.01,140.627272727273,0,1,10,100,9,2,5e+05,"150405_0244.RData"
5,0.01,7.3,34.0363636363636,2,10,40,2,2,5e+05,"150405_0245.RData"
10,0.01,3.85454545454545,37.7545454545455,2,10,100,9,2,5e+05,"150405_0246.RData"
2,0.01,139.981818181818,0,1,10,40,2,2,5e+05,"150405_0247.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0248.RData"
10,0.01,145.245454545455,0,1,10,40,2,2,5e+05,"150405_0249.RData"
2,0.01,136.527272727273,0,1,10,100,9,2,5e+05,"150405_0250.RData"
5,0.01,7.39090909090909,37.1272727272727,2,10,40,2,2,5e+05,"150405_0251.RData"
10,0.01,138.445454545455,0,1,10,100,9,2,5e+05,"150405_0252.RData"
2,0.01,143.163636363636,0,1,10,40,2,2,5e+05,"150405_0253.RData"
5,0.01,144.045454545455,0,1,10,100,9,2,5e+05,"150405_0254.RData"
10,0.01,4.25454545454545,35.5636363636364,2,10,40,2,2,5e+05,"150405_0255.RData"
2,0.01,0,0,0,10,100,9,2,5e+05,"150405_0256.RData"
5,0.01,143.281818181818,0,1,10,40,2,2,5e+05,"150405_0257.RData"
10,0.01,146.4,0,1,10,100,9,2,5e+05,"150405_0258.RData"
2,0.01,143.290909090909,0,1,10,40,2,2,5e+05,"150405_0259.RData"
5,0.01,137.2,0,1,10,100,9,2,5e+05,"150405_0260.RData"
10,0.01,154.890909090909,0,1,10,40,2,2,5e+05,"150405_0261.RData"
2,0.01,137.5,0,1,10,100,9,2,5e+05,"150405_0262.RData"
5,0.01,7.70909090909091,33.0909090909091,2,10,40,2,2,5e+05,"150405_0263.RData"
10,0.01,0,0,0,10,100,9,2,5e+05,"150405_0264.RData"
2,0.01,16.4909090909091,33.3818181818182,2,10,40,2,2,5e+05,"150405_0265.RData"
5,0.01,144.927272727273,0,1,10,100,9,2,5e+05,"150405_0266.RData"
10,0.01,147.454545454545,0,1,10,40,2,2,5e+05,"150405_0267.RData"
2,0.01,137.672727272727,0,1,10,100,9,2,5e+05,"150405_0268.RData"
5,0.01,146.518181818182,0,1,10,40,2,2,5e+05,"150405_0269.RData"
10,0.01,4.24545454545455,36.6181818181818,2,10,100,9,2,5e+05,"150405_0270.RData"
2,0.01,148.736363636364,0,1,10,40,2,2,5e+05,"150405_0271.RData"
5,0.01,140.118181818182,0,1,10,100,9,2,5e+05,"150405_0272.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0273.RData"
2,0.01,143.372727272727,0,1,10,100,9,2,5e+05,"150405_0274.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0275.RData"
10,0.01,3.57272727272727,36.8636363636364,2,10,100,9,2,5e+05,"150405_0276.RData"
2,0.01,143.218181818182,0,1,10,40,2,2,5e+05,"150405_0277.RData"
5,0.01,136.727272727273,0,1,10,100,9,2,5e+05,"150405_0278.RData"
10,0.01,145.645454545455,0,1,10,40,2,2,5e+05,"150405_0279.RData"
2,0.01,154.281818181818,0,1,10,100,9,2,5e+05,"150405_0280.RData"
5,0.01,7.5,36.3363636363636,2,10,40,2,2,5e+05,"150405_0281.RData"
10,0.01,151.054545454545,0,1,10,100,9,2,5e+05,"150405_0282.RData"
2,0.01,143.154545454545,0,1,10,40,2,2,5e+05,"150405_0283.RData"
5,0.01,7.31818181818182,35.1090909090909,2,10,100,9,2,5e+05,"150405_0284.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0285.RData"
2,0.01,144.218181818182,0,1,10,100,9,2,5e+05,"150405_0286.RData"
5,0.01,141.018181818182,0,1,10,40,2,2,5e+05,"150405_0287.RData"
10,0.01,146.054545454545,0,1,10,100,9,2,5e+05,"150405_0288.RData"
2,0.01,146.945454545455,0,1,10,40,2,2,5e+05,"150405_0289.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0290.RData"
10,0.01,141.363636363636,0,1,10,40,2,2,5e+05,"150405_0291.RData"
2,0.01,140.572727272727,0,1,10,100,9,2,5e+05,"150405_0292.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0293.RData"
10,0.01,0,0,0,10,100,9,2,5e+05,"150405_0294.RData"
2,0.01,0,0,0,10,40,2,2,5e+05,"150405_0295.RData"
5,0.01,7.46363636363636,34.3272727272727,2,10,100,9,2,5e+05,"150405_0296.RData"
10,0.01,0,0,0,10,40,2,2,5e+05,"150405_0297.RData"
2,0.01,142.8,0,1,10,100,9,2,5e+05,"150405_0298.RData"
5,0.01,139.527272727273,0,1,10,40,2,2,5e+05,"150405_0299.RData"
10,0.01,3.85454545454545,36.6,2,10,100,9,2,5e+05,"150405_0300.RData"
2,0.01,148.681818181818,0,1,10,40,2,2,5e+05,"150405_0301.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0302.RData"
10,0.01,142.490909090909,0,1,10,40,2,2,5e+05,"150405_0303.RData"
2,0.01,140.8,0,1,10,100,9,2,5e+05,"150405_0304.RData"
5,0.01,7.45454545454545,35.5363636363636,2,10,40,2,2,5e+05,"150405_0305.RData"
10,0.01,3.8,35.9545454545455,2,10,100,9,2,5e+05,"150405_0306.RData"
