"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents","path2","extinctionTime","totalTime","survivalTime"
"100",0.4,0,1,65.1666666666667,0,2,2,1,120,8e+05,143,NA,1550.84115888914,NA
"101",0.1,0,1,69.5,0,2,2,1,120,8e+05,132,NA,1199.62969477196,NA
"102",0.2,0,1,80,0,2,2,1,120,8e+05,167,NA,1311.33170931266,NA
"103",0.3,0,1,62.5,0,2,2,1,120,8e+05,150,NA,1495.95618309869,NA
"104",0.4,0,2,25.8333333333333,10,2,2,1,120,8e+05,48,NA,1196.32376422989,NA
"105",0.1,0,1,91.1666666666667,0,2,2,1,120,8e+05,179,NA,1074.73039842525,NA
"106",0.2,0,1,68.1666666666667,0,2,2,1,120,8e+05,126,NA,1493.69211691015,NA
"107",0.3,0,1,89.5,0,2,2,1,120,8e+05,174,NA,1125.72433297737,NA
"108",0.4,0,2,25.8333333333333,15,2,2,1,120,8e+05,64,NA,1187.47170382478,NA
"109",0.1,0,1,79.8333333333333,0,2,2,1,120,8e+05,140,NA,1335.81071818061,NA
"110",0.2,0,1,74.5,0,2,2,1,120,8e+05,161,NA,1400.11280517905,NA
"111",0.3,0,1,73.1666666666667,0,2,2,1,120,8e+05,151,NA,1538.60288926719,NA
"112",0.4,0,2,29.8333333333333,9,2,2,1,120,8e+05,60,NA,1242.01904820972,NA
"113",0.1,0,1,70.8333333333333,0,2,2,1,120,8e+05,157,NA,1404.2634767595,NA
"114",0.2,0,1,44.8333333333333,0,2,2,1,120,8e+05,81,NA,1833.45368165518,NA
"115",0.3,0,1,54.8333333333333,0,2,2,1,120,8e+05,0,554.749869143172,1473.65711824255,19.0596470140432
"116",0.4,0,2,23.6666666666667,13.8333333333333,2,2,1,120,8e+05,40,NA,1195.51612815268,NA
"117",0.1,0,1,57.6666666666667,0,2,2,1,120,8e+05,101,NA,1716.17463683028,NA
"118",0.2,0,1,75.6666666666667,0,2,2,1,120,8e+05,0,576.707947200572,1150.68168121614,110.270829802533
"119",0.3,0,2,35.8333333333333,12,2,2,1,120,8e+05,43,NA,1206.52964240546,NA
"120",0.4,0,2,29.6666666666667,18.6666666666667,2,2,1,120,8e+05,64,NA,1125.25081618964,NA
"121",0.1,0,1,80,0,2,2,1,120,8e+05,168,NA,1266.56907956461,NA
"122",0.2,0,1,79.8333333333333,0,2,2,1,120,8e+05,170,NA,1207.38208844351,NA
"123",0.3,0,1,52.6666666666667,0,2,2,1,120,8e+05,0,771.428853282508,1508.51805437643,295.856631891303
"124",0.4,0,1,80.8333333333333,0,2,2,1,120,8e+05,0,555.979882446686,1317.29488756892,53.5186568150746
"125",0.1,0,1,93.3333333333333,0,2,2,1,120,8e+05,168,NA,1078.42070186229,NA
"126",0.2,0,1,47.5,0,2,2,1,120,8e+05,97,NA,1519.86333060051,NA
"127",0.3,0,1,64.3333333333333,0,2,2,1,120,8e+05,117,NA,1447.62593385686,NA
"128",0.4,0,2,30,15.5,2,2,1,120,8e+05,67,NA,1100.94909899551,NA
"129",0.1,0,1,47,0,2,2,1,120,8e+05,103,NA,1618.32604829275,NA
"130",0.2,0,1,52.8333333333333,0,2,2,1,120,8e+05,101,NA,1779.16779776979,NA
"131",0.3,0,2,30.1666666666667,10.8333333333333,2,2,1,120,8e+05,37,NA,1232.9264003571,NA
"132",0.4,0,2,22.5,10.6666666666667,2,2,1,120,8e+05,52,NA,1363.05519825055,NA
"133",0.1,0,1,62.1666666666667,0,2,2,1,120,8e+05,129,NA,1314.90241387615,NA
"134",0.2,0,1,58.3333333333333,0,2,2,1,120,8e+05,116,NA,1389.15006494903,NA
"135",0.3,0,1,65.1666666666667,0,2,2,1,120,8e+05,0,1221.9789478644,1302.9942301669,715.178335745842
"136",0.4,0,1,43.6666666666667,0,2,2,1,120,8e+05,105,NA,1716.19571684303,NA
"137",0.1,0,1,49.5,0,2,2,1,120,8e+05,104,NA,1549.46603129734,NA
"138",0.2,0,1,33.6666666666667,0,2,2,1,120,8e+05,60,NA,1819.49430819572,NA
