"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"383",0.4,0.01,2,51.9333333333333,22.0333333333333,10,2,2,40,8e+05
"384",0.6,0.01,2,37.9,24.7666666666667,10,2,2,40,8e+05
"385",0.1,0.01,1,142.166666666667,0,10,2,2,40,8e+05
"386",0.2,0.01,2,98.8333333333333,13.1333333333333,10,2,2,40,8e+05
"387",0.4,0.01,2,55.2333333333333,21.3,10,2,2,40,8e+05
"388",0.6,0.01,2,39.4666666666667,27.8,10,2,2,40,8e+05
"389",0.1,0.01,1,134.033333333333,0,10,2,2,40,8e+05
"390",0.2,0.01,1,147.866666666667,0,10,2,2,40,8e+05
"391",0.4,0.01,2,54.7333333333333,24.7,10,2,2,40,8e+05
"392",0.6,0.01,2,36.9333333333333,27,10,2,2,40,8e+05
"393",0.1,0.01,1,138.566666666667,0,10,2,2,40,8e+05
"394",0.2,0.01,1,139.4,0,10,2,2,40,8e+05
"395",0.4,0.01,2,50.9,24.1,10,2,2,40,8e+05
"396",0.6,0.01,2,43.3,25.7,10,2,2,40,8e+05
"397",0.1,0.01,1,143.966666666667,0,10,2,2,40,8e+05
"398",0.2,0.01,1,139.833333333333,0,10,2,2,40,8e+05
"399",0.4,0.01,2,51.2666666666667,23.0333333333333,10,2,2,40,8e+05
"400",0.6,0.01,2,42.1333333333333,26.2666666666667,10,2,2,40,8e+05
"401",0.1,0.01,1,139.933333333333,0,10,2,2,40,8e+05
"402",0.2,0.01,1,146.933333333333,0,10,2,2,40,8e+05
"403",0.4,0.01,2,53.2,27.2,10,2,2,40,8e+05
"404",0.6,0.01,2,40.9333333333333,23.7,10,2,2,40,8e+05
"405",0.1,0.01,1,144.866666666667,0,10,2,2,40,8e+05
"406",0.2,0.01,1,139.8,0,10,2,2,40,8e+05
"407",0.4,0.01,2,52.2666666666667,24.7333333333333,10,2,2,40,8e+05
"408",0.6,0.01,2,38.3333333333333,29.2333333333333,10,2,2,40,8e+05
"409",0.1,0.01,1,148.4,0,10,2,2,40,8e+05
"410",0.2,0.01,1,135.233333333333,0,10,2,2,40,8e+05
"411",0.4,0.01,2,53.8666666666667,27.8333333333333,10,2,2,40,8e+05
"412",0.6,0.01,2,41.5,25.4,10,2,2,40,8e+05
"413",0.1,0.01,1,140.233333333333,0,10,2,2,40,8e+05
"414",0.2,0.01,1,140.566666666667,0,10,2,2,40,8e+05
"415",0.4,0.01,2,52.4666666666667,24.8,10,2,2,40,8e+05
"416",0.6,0.01,2,42.3,25.8,10,2,2,40,8e+05
"417",0.1,0.01,1,152.833333333333,0,10,2,2,40,8e+05
"418",0.2,0.01,1,143.633333333333,0,10,2,2,40,8e+05
"419",0.4,0.01,2,64.6666666666667,17.7333333333333,10,2,2,40,8e+05
"420",0.6,0.01,2,40.3666666666667,28.4666666666667,10,2,2,40,8e+05
"421",0.1,0.01,1,148.033333333333,0,10,2,2,40,8e+05
"422",0.2,0.01,1,141.766666666667,0,10,2,2,40,8e+05
"423",0.4,0.01,2,52.1,23.9666666666667,10,2,2,40,8e+05
"424",0.6,0.01,2,39.1,26.9333333333333,10,2,2,40,8e+05
"425",0.1,0.01,1,148.266666666667,0,10,2,2,40,8e+05
"426",0.2,0.01,1,141.366666666667,0,10,2,2,40,8e+05
"427",0.4,0.01,2,53.5333333333333,27.7333333333333,10,2,2,40,8e+05
"428",0.6,0.01,2,39.6,26.2666666666667,10,2,2,40,8e+05
"429",0.1,0.01,1,142.5,0,10,2,2,40,8e+05
"430",0.2,0.01,1,146.833333333333,0,10,2,2,40,8e+05
"431",0.4,0.01,2,53.4333333333333,24.5666666666667,10,2,2,40,8e+05
"432",0.6,0.01,2,40.4666666666667,29.8,10,2,2,40,8e+05
"433",0.1,0.01,1,137.533333333333,0,10,2,2,40,8e+05
"434",0.2,0.01,2,135.466666666667,1.46666666666667,10,2,2,40,8e+05
"435",0.4,0.01,2,99,14.1,10,2,2,40,8e+05
"436",0.6,0.01,2,40.3333333333333,29.4333333333333,10,2,2,40,8e+05
"437",0.1,0.01,1,148.133333333333,0,10,2,2,40,8e+05
"438",0.2,0.01,2,124.733333333333,5.9,10,2,2,40,8e+05
"439",0.4,0.01,2,53.0333333333333,19.9666666666667,10,2,2,40,8e+05
"440",0.6,0.01,2,38.6333333333333,26.0333333333333,10,2,2,40,8e+05
"441",0.1,0.01,1,140.2,0,10,2,2,40,8e+05
"442",0.2,0.01,1,138.033333333333,0,10,2,2,40,8e+05
"443",0.4,0.01,2,51,24.0666666666667,10,2,2,40,8e+05
"444",0.6,0.01,2,38.3666666666667,28.6666666666667,10,2,2,40,8e+05
"445",0.1,0.01,1,143.533333333333,0,10,2,2,40,8e+05
"446",0.2,0.01,2,113.166666666667,7.3,10,2,2,40,8e+05
"447",0.4,0.01,2,51.9666666666667,24.7666666666667,10,2,2,40,8e+05
"448",0.6,0.01,2,41.3666666666667,25,10,2,2,40,8e+05
"449",0.1,0.01,1,135.366666666667,0,10,2,2,40,8e+05
"450",0.2,0.01,1,142.766666666667,0,10,2,2,40,8e+05
"451",0.4,0.01,2,53.4666666666667,25.2666666666667,10,2,2,40,8e+05
"452",0.6,0.01,2,39.8666666666667,28.8666666666667,10,2,2,40,8e+05
"453",0.1,0.01,1,140.033333333333,0,10,2,2,40,8e+05
"454",0.2,0.01,2,135.766666666667,1.2,10,2,2,40,8e+05
"455",0.4,0.01,2,55.0666666666667,22.4333333333333,10,2,2,40,8e+05
"456",0.6,0.01,2,39.8,25.9666666666667,10,2,2,40,8e+05
"457",0.1,0.01,1,134.666666666667,0,10,2,2,40,8e+05
"458",0.2,0.01,1,132.4,0,10,2,2,40,8e+05
"459",0.4,0.01,2,71.5666666666667,18.9666666666667,10,2,2,40,8e+05
"460",0.6,0.01,2,41.4333333333333,24.2666666666667,10,2,2,40,8e+05
"461",0.1,0.01,1,157.666666666667,0,10,2,2,40,8e+05
"462",0.2,0.01,1,142.3,0,10,2,2,40,8e+05
"463",0.4,0.01,2,52,23.5,10,2,2,40,8e+05
"464",0.6,0.01,2,42.4666666666667,26.5,10,2,2,40,8e+05
"465",0.1,0.01,1,141.8,0,10,2,2,40,8e+05
"466",0.2,0.01,1,136.666666666667,0,10,2,2,40,8e+05
"467",0.4,0.01,1,140.733333333333,0,10,2,2,40,8e+05
"468",0.6,0.01,2,41.8333333333333,23.6,10,2,2,40,8e+05
"469",0.1,0.01,1,133.866666666667,0,10,2,2,40,8e+05
"470",0.2,0.01,2,123.433333333333,4.46666666666667,10,2,2,40,8e+05
"471",0.4,0.01,2,55.4666666666667,22.2666666666667,10,2,2,40,8e+05
"472",0.6,0.01,2,39.2333333333333,24.5333333333333,10,2,2,40,8e+05
"473",0.1,0.01,1,142.4,0,10,2,2,40,8e+05
"474",0.2,0.01,2,130.166666666667,3.9,10,2,2,40,8e+05
"475",0.4,0.01,2,50.3,26.6,10,2,2,40,8e+05
"476",0.6,0.01,2,42.0666666666667,24.2333333333333,10,2,2,40,8e+05
"477",0.1,0.01,1,138.766666666667,0,10,2,2,40,8e+05
"478",0.2,0.01,1,143.1,0,10,2,2,40,8e+05
"479",0.4,0.01,2,49.8333333333333,25.7666666666667,10,2,2,40,8e+05
"480",0.6,0.01,2,37.4,26.6333333333333,10,2,2,40,8e+05
"481",0.1,0.01,1,137.933333333333,0,10,2,2,40,8e+05
"482",0.2,0.01,2,113.3,10.4333333333333,10,2,2,40,8e+05
"483",0.4,0.01,2,52.4,24.2666666666667,10,2,2,40,8e+05
"484",0.6,0.01,2,42.9666666666667,26.9333333333333,10,2,2,40,8e+05
