namemodel,REM,NW5,NW6,NW7,SW6,SW9,SW8,SW7,SW5,SW4,NW1,NW2,NW3,NW4,SW1,SW2,SW3,NE3,SE3,SE4,NE1,NE2,SE2,gas,SE1
iter50,0.600448604,0.5885308444,0.3194118448,-1.9053213101,-1.3054786436,-2.61686822,0.168953059,3.8847237985,-1.1373519973,-0.0229557375,0.6631221295,0.6163631848,0.6147535853,-0.3485875742,-0.3896527936,-2.3482430515,-0.3227630383,0.2422961597,0.4601493218,-0.764517532,-0.1148311523,-0.1756802281,-0.1283615076,-0.28777554,0.4302360444
iter51,0.1010137528,0.0694109661,-0.1354368739,-0.3014985912,-0.9532941635,-3.1683015823,1.3657147443,0.6383261798,-0.8165925368,-0.3187458093,0.0597389437,0.1177530313,-0.0048154693,0.0578292078,0.5737179674,0.5473611934,-1.6965687544,-0.595653259,-0.5069581584,-1.7045442052,-0.4270202849,-0.5809279805,-0.4685059405,-0.5226688839,-1.4366317254
iter52,0.4815355442,0.3953699595,0.0793527989,0.3260842119,-0.7875602906,-2.1021970819,-0.2499135308,1.5851921519,-0.7478583667,-3.7942791527,-0.3242321745,-0.3017126533,-0.2575344258,-0.1602480899,0.168664352,-0.7007440846,-4.6985886527,-0.450224021,-0.4772010051,-3.1459184375,-0.1762454079,-0.2782745958,-0.421409019,-0.277562786,-1.8353801811
iter53,-0.9692037855,-1.0654092331,-1.1083077444,-0.3537971581,0.0411090743,0.3241097122,1.7247432499,0.7735927473,1.5891034169,2.7870499444,-0.0264586542,0.0306941157,0.0277934283,-0.2593741343,0.4095070422,1.0133204972,1.5089779166,0.4708278193,-0.1870687611,0.3321802534,0.2945972182,0.2244378059,0.2170159166,0.2126494099,-0.8203841121
iter54,-0.2081602027,-0.401418691,-1.1462118043,-1.9227541658,-1.719813326,-1.9551481853,-4.139389008,-5.5839359227,-2.7182379097,-0.9103259528,0.6631221295,0.6638498661,0.4924702193,-1.4885370847,-2.3930260806,-2.3482430515,-1.0859884361,-0.1662907469,-0.6631832128,-2.8325762131,0.7398505712,0.6040369664,0.7089170965,0.5241384093,0.3396113954
iter55,1.4685139407,1.6267706011,2.1767107795,2.4703254557,5.0752754659,3.4856609893,-0.3097516151,-1.120139197,3.1470779393,-0.7624309169,0.8668619065,0.9645988475,1.2832359864,1.2671669493,1.153929903,2.5276882345,-1.1368701293,1.5719349067,1.3007889007,1.1468700368,1.7173608058,1.6094617699,1.6613215087,1.5505201944,0.5933604126
iter56,-0.1011384489,-0.2324029167,-0.1480715605,0.3958156344,-0.186775001,1.9416475749,-0.4294277836,1.1793924496,2.1160653877,1.8996797291,0.6944667105,0.4818175878,0.3375779556,0.5237216164,0.3547700672,1.1298103231,5.0198147468,0.0345401055,-0.1052365897,4.1862896135,0.2536543812,0.0910651279,0.0495601958,0.0543517216,2.5146029718
iter57,-0.8383994197,-1.0654092331,-1.3230974171,-1.7135598981,0.4554437567,4.2209054724,2.8018287667,10.9185853057,1.0392300561,2.4173123547,-0.7003671474,-0.7449216786,-0.8281901341,-1.855303449,-1.4187079246,0.3476643489,3.1880737919,-0.6787556807,-1.1169797997,2.2435678222,-0.5856737785,-0.6527440379,-0.63072867,-0.7269239655,1.5177318326
iter58,-0.006008001,0.0211207448,-0.0090900076,0.0820242329,0.3518600861,-2.1021970819,-4.139389008,-0.8496060621,-0.6333014165,-2.1674337579,-0.4182659177,-0.3096271002,-0.200468855,-0.3188497609,0.0263482168,-0.734026892,-0.0174728791,0.1037921235,0.4303921686,1.585549151,0.9752718842,0.8502634489,0.7978779482,0.7692445072,2.1158545162
iter59,1.0285356194,0.998997725,1.2417439688,3.4639982272,2.7342845101,4.1473810241,3.4600476936,9.2953864964,4.7966980219,7.519691093,2.2225150381,2.4050281797,2.7017230325,3.675929828,4.5585697514,5.9225345905,8.5815332702,3.4486645964,3.7483147543,6.6930274087,2.0807284847,2.0095798039,1.9753009852,1.9130729642,2.3877284632
iter60,1.5279704706,1.4456822714,0.7110871304,0.0820242329,-1.2226117071,-0.3376103225,1.2460385758,3.7494572311,0.1227744547,1.4559946214,0.6082691126,0.537218716,0.6962758293,0.8904879806,0.8145606576,-0.1848605697,-0.9333433565,0.3946505994,0.393195727,-2.0178864296,0.269007945,0.2244378059,0.3321417247,0.0645644757,-0.3491359372
