Model,Distance,Mean,Standard.Error
4,1510.686,0.100349888,0.105040081
4,1495.368,0.05552312,0.098888135
4,1480.05,0.061861379,0.116104647
4,1464.732,-0.01240771,0.117696948
4,1449.414,0.116290527,0.115660746
4,1434.096,-0.031726967,0.117121302
4,1418.778,0.096117959,0.112486927
4,1403.46,0.104532456,0.105082374
4,1388.142,0.121690739,0.112557704
4,1372.824,0.065066168,0.119684608
4,1357.506,-0.054097135,0.115057141
4,1342.188,0.147700924,0.110269817
4,1326.87,0.03564678,0.126076407
4,1311.552,0.109021225,0.113866796
4,1296.234,0.098996806,0.111463936
4,1280.916,0.090191744,0.119125148
4,1265.598,-0.06355455,0.125784433
4,1250.28,0.070832792,0.118110281
4,1234.962,0.096596958,0.116890862
4,1219.644,0.105762092,0.119295751
4,1204.326,0.124040082,0.111839128
4,1189.008,0.114608816,0.116956418
4,1173.69,-0.091150501,0.119099281
4,1158.372,0.122398325,0.116161246
4,1143.054,0.108730559,0.108888588
4,1127.736,0.043211119,0.124280003
4,1112.418,0.055878785,0.13322208
4,1097.1,0.081306227,0.110111972
4,1081.782,0.04981152,0.121255438
4,1066.464,0.074803208,0.121805374
4,1051.146,0.088046381,0.128670942
4,1035.828,-0.003280587,0.139886744
4,1020.51,0.066038617,0.125636647
4,1005.192,0.032323376,0.125689848
4,989.874,0.148131465,0.118162633
4,974.556,0.095614561,0.121931695
4,959.238,-0.105695464,0.131835951
4,943.92,0.084064955,0.121396726
4,928.602,0.057586977,0.128157056
4,913.284,0.1371477,0.131321524
4,897.966,0.067368787,0.133655284
4,882.648,0.053638254,0.135426876
4,867.33,0.014230488,0.133462343
4,852.012,0.067830673,0.13665339
4,836.694,-0.075257557,0.133747046
4,821.376,0.063527175,0.135736073
4,806.058,-0.143150744,0.143526714
4,790.74,0.061439982,0.137803884
4,775.422,0.066128249,0.149502205
4,760.104,0.085078868,0.142325764
4,744.786,0.008676628,0.138833229
4,729.468,0.106274879,0.135151194
4,714.15,0.00162062,0.143642073
4,698.832,0.085694472,0.150769028
4,683.514,-0.059667664,0.146787263
4,668.196,0.073402549,0.138188742
4,652.878,0.128574874,0.13544188
4,637.56,0.186120092,0.135344995
4,622.242,-0.073170367,0.13850842
4,606.924,-0.035599412,0.154874069
4,591.606,-0.067983217,0.136592723
4,576.288,0.033630756,0.142318954
4,560.97,0.225242499,0.156236841
4,545.652,0.034527833,0.162867502
4,530.334,-0.02710294,0.157876547
4,515.016,0.085849552,0.166810867
4,499.698,-0.016296264,0.15091544
4,484.38,0.257566705,0.161166746
4,469.062,-0.019994732,0.162730339
4,453.744,0.02996197,0.154729001
4,438.426,0.104360999,0.165821232
4,423.108,0.347231848,0.172115477
4,407.79,0.045152136,0.161359783
4,392.472,0.095688198,0.173264048
4,377.154,0.078006064,0.164702863
4,361.836,0.311866067,0.18923762
4,346.518,0.072295518,0.180419182
4,331.2,0.257803005,0.174682509
4,315.882,-0.012710828,0.188229225
4,300.564,0.123733901,0.205159739
4,285.246,-0.071181948,0.181859647
4,269.928,0.067363307,0.213503407
4,254.61,0.350368487,0.198584426
4,239.292,0.477004908,0.188634362
4,223.974,0.039877073,0.204743927
4,208.656,0.245428171,0.233574981
4,193.338,0.003598987,0.231463496
4,178.02,0.2624607,0.248803541
4,162.702,0.479822356,0.242933169
4,147.384,0.110637401,0.250585014
4,132.066,0.276540194,0.287187145
4,116.748,-0.004965701,0.314517443
4,101.43,0.227021811,0.287026038
4,86.112,0.269710825,0.399214514
4,70.794,0.496752569,0.363769054
4,55.476,0.568428389,0.415731128
4,40.158,0.104446076,0.487364924
4,24.84,0.631235852,0.641051662
4,1863,154.6882648,0.718095286
