"model","percentageerror","count"
"NW1",-16.2517639261,40
"NW1",13.0790112365,40
"NW1",-13.034851152,40
"NW1",-15.3247495332,40
"NW1",-3.9809258029,40
"NW1",-2.6050759307,40
"NW1",14.843814314,40
"NW1",15.3671629273,40
"NW1",-16.9276591535,40
"NW1",3.9754496946,40
"NW1",-12.7274919056,40
"NW1",61.1295527996,40
"NW1",11.8493348108,40
"NW1",-11.3286051739,40
"NW1",-7.3157630467,40
"NW1",0.5465787463,40
"NW1",1.5596317177,40
"NW1",-5.1454506693,40
"NW1",17.2677050164,40
"NW1",7.7738796006,40
"NW1",10.7300514415,40
"NW1",15.4354858889,40
"NW1",-0.1176361182,40
"NW1",-8.6875934622,40
"NW1",-21.7403628747,40
"NW1",-28.7083258984,40
"NW1",-29.2444251469,40
"NW1",3.7976813663,40
"NW1",-23.632709643,40
"NW1",-28.9750056331,40
"NW1",-13.8616385848,40
"NW1",41.3577360948,40
"NW1",-9.0057733817,40
"NW1",-1.9553857211,40
"NW1",-22.563091089,40
"NW1",-0.8577655961,40
"NW1",-24.5545307864,40
"NW1",9.7409964198,40
"NW1",11.9097429436,40
"NW1",-4.235609863,40
"NW1",-3.244248194,40
"NW1",9.4803259758,40
"NW1",-15.6514553367,40
"NW1",11.9002834506,40
"NW1",-5.4709393442,40
"NW1",-33.6039298668,40
"NW1",-25.0934862861,40
"NW1",62.0026284004,40
"NW1",5.2150125403,40
"NW1",18.5754142812,40
"NW1",-2.2814609662,40
