"model","percentageerror","wait"
"NE1",0.4383461918,"0"
"NE1",0.1763570954,"0"
"NE1",0.1763570954,"0"
"NE1",2.2998476657,"0"
"NE1",0.5900240896,"0"
"NE1",1.2932579798,"0"
"NE1",0.9071687852,"0"
"NE1",1.2381023806,"0"
"NE1",1.1691578815,"0"
"NE1",-2.8434119622,"0"
"NE1",1.6931360742,"0"
"NE1",0.4797128912,"0"
"NE1",1.1002133825,"0"
"NE1",-2.0436557734,"0"
"NE1",0.424557292,"0"
"NE1",-0.002898602,"0"
"NE1",2.1481697678,"0"
"NE1",0.2590904943,"0"
"NE1",-2.2504892705,"0"
"NE1",0.4107683922,"0"
"NE1",-0.0442653015,"0"
"NE1",0.2039348951,"0"
"NE1",-0.5130878949,"0"
"NE1",-0.3751988968,"0"
"NE1",0.0522569972,"0"
"NE1",-1.0094882879,"0"
"NE1",1.4035691782,"0"
"NE1",0.1625681956,"0"
"NE1",0.5900240896,"0"
"NE1",-0.2510987986,"0"
"NE1",-0.5544545943,"0"
"NE1",0.7141241879,"0"
"NE1",0.8933798854,"0"
"NE1",1.2243134808,"0"
"NE1",1.0174799837,"0"
"NE1",-0.8578103901,"0"
"NE1",0.3969794924,"0"
"NE1",1.8448139721,"0"
"NE1",1.0312688835,"0"
"NE1",2.6721479605,"0"
"NE1",-1.078432787,"0"
"NE1",0.134990396,"0"
"NE1",-0.9543326887,"0"
"NE1",-0.9129659893,"0"
"NE1",-0.430354496,"0"
"NE1",-1.1197994864,"0"
"NE1",1.3346246792,"0"
"NE1",-0.4441433959,"0"
"NE1",1.4449358777,"0"
"NE1",-0.1132098005,"0"
"NE1",-0.1269987003,"0"
"NE1",-0.9956993881,"0"
"NE1",-0.8991770895,"0"
"NE1",2.134380868,"0"
"NE1",2.2171142668,"0"
"NE1",-0.4165655962,"0"
"NE1",0.2039348951,"0"
"NE1",-0.4027766964,"0"
"NE1",-0.5820323939,"0"
"NE1",1.9275473709,"0"
"NE1",-0.8302325904,"0"
"NE1",1.1553689817,"0"
"NE1",-1.933344575,"0"
"NE1",0.3004571937,"0"
"NE1",0.2039348951,"0"
"NE1",0.7830686869,"0"
"NE1",-2.0988113727,"0"
"NE1",0.7830686869,"0"
"NE1",-1.9471334748,"0"
"NE1",-0.3338321974,"0"
"NE1",1.0312688835,"0"
"NE1",0.852013186,"0"
"NE1",0.8106464866,"0"
"NE1",1.8310250722,"0"
"NE1",0.4797128912,"0"
"NE1",-0.7750769912,"0"
"NE1",0.134990396,"0"
"NE1",-0.6923435924,"0"
"NE1",1.4311469779,"0"
"SE3",0.6426598616,"0"
"SE3",-0.9110602993,"0"
"SE3",0.3807969132,"0"
"SE3",-0.282589223,"0"
"SE3",0.4680845627,"0"
"SE3",0.5379146822,"0"
"SE3",1.4631637668,"0"
"SE3",-0.4047919322,"0"
"SE3",-0.9808904189,"0"
"SE3",-0.7015699405,"0"
"SE3",-0.0730988642,"0"
"SE3",0.415711973,"0"
"SE3",-1.295125957,"0"
"SE3",0.1538490245,"0"
"SE3",-0.3698768724,"0"
"SE3",-2.6393557592,"0"
"SE3",1.9170595442,"0"
"SE3",1.1489282287,"0"
"SE3",-1.2252958374,"0"
