"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
2,0.01,142.272727272727,0,1,10,100,9,2,5e+05,"150327_337.RData"
10,0.01,142.163636363636,0,1,10,100,8.8,2,5e+05,"150327_339.RData"
10,0.001,44.5727272727273,25.1363636363636,2,10,100,8,2,5e+05,"150327_33.RData"
2,0.01,149.027272727273,0,1,10,100,8.6,2,5e+05,"150327_340.RData"
10,0.01,140.572727272727,0,1,10,100,8.6,2,5e+05,"150327_342.RData"
2,0.01,143.463636363636,0,1,10,100,8.4,2,5e+05,"150327_343.RData"
5,0.01,146.590909090909,0,1,10,100,9,2,5e+05,"150327_344.RData"
10,0.01,139.536363636364,0,1,10,100,9,2,5e+05,"150327_345.RData"
2,0.01,145.8,0,1,10,100,9,2,5e+05,"150327_346.RData"
5,0.01,138.890909090909,0,1,10,100,8.4,2,5e+05,"150327_347.RData"
2,0.01,144.881818181818,0,1,10,100,9,2,5e+05,"150327_349.RData"
5,0.01,147.509090909091,0,1,10,100,8.6,2,5e+05,"150327_350.RData"
5,0.01,138.490909090909,0,1,10,100,9,2,5e+05,"150327_353.RData"
10,0.01,3.85454545454545,35.7363636363636,2,10,100,8.2,2,5e+05,"150327_354.RData"
2,0.01,146.554545454545,0,1,10,100,9,2,5e+05,"150327_355.RData"
5,0.01,143.490909090909,0,1,10,100,9,2,5e+05,"150327_356.RData"
2,0.01,140.790909090909,0,1,10,100,8.6,2,5e+05,"150327_358.RData"
5,0.01,7.54545454545454,37.0090909090909,2,10,100,9,2,5e+05,"150327_359.RData"
5,0.001,140.236363636364,0,1,10,100,8.8,2,5e+05,"150327_35.RData"
10,0.01,144.981818181818,0,1,10,100,8.8,2,5e+05,"150327_360.RData"
5,0.01,147.218181818182,0,1,10,100,9,2,5e+05,"150327_362.RData"
10,0.01,3.86363636363636,37.0181818181818,2,10,100,9,2,5e+05,"150327_363.RData"
2,0.01,16.5181818181818,30.0818181818182,2,10,100,9,2,5e+05,"150327_364.RData"
10,0.01,136.1,0,1,10,100,9,2,5e+05,"150327_366.RData"
2,0.01,142.545454545455,0,1,10,100,9,2,5e+05,"150327_370.RData"
5,0.01,142.318181818182,0,1,10,100,8.6,2,5e+05,"150327_371.RData"
10,0.01,139.9,0,1,10,100,8,2,5e+05,"150327_372.RData"
2,0.01,140.681818181818,0,1,10,100,9,2,5e+05,"150327_373.RData"
10,0.01,144.618181818182,0,1,10,100,8.6,2,5e+05,"150327_375.RData"
2,0.01,143.136363636364,0,1,10,100,9,2,5e+05,"150327_376.RData"
5,0.01,7.65454545454545,32.4,2,10,100,9,2,5e+05,"150327_377.RData"
10,0.01,4.11818181818182,35.8636363636364,2,10,100,9,2,5e+05,"150327_378.RData"
2,0.01,146.845454545455,0,1,10,100,9,2,5e+05,"150327_379.RData"
2,0.001,139.836363636364,0,1,10,100,9,2,5e+05,"150327_37.RData"
5,0.01,140.572727272727,0,1,10,100,9,2,5e+05,"150327_380.RData"
10,0.01,134.609090909091,0,1,10,100,8.8,2,5e+05,"150327_381.RData"
2,0.01,140.136363636364,0,1,10,100,9,2,5e+05,"150327_382.RData"
5,0.01,140.918181818182,0,1,10,100,9,2,5e+05,"150327_383.RData"
10,0.01,4.33636363636364,36.5636363636364,2,10,100,9,2,5e+05,"150327_387.RData"
2,0.01,145.190909090909,0,1,10,100,9,2,5e+05,"150327_388.RData"
5,0.01,142.318181818182,0,1,10,100,9,2,5e+05,"150327_389.RData"
2,0.01,142.4,0,1,10,100,9,2,5e+05,"150327_391.RData"
5,0.01,145.772727272727,0,1,10,100,8.8,2,5e+05,"150327_392.RData"
2,0.01,140.254545454545,0,1,10,100,8.4,2,5e+05,"150327_394.RData"
5,0.01,146.709090909091,0,1,10,100,8.8,2,5e+05,"150327_395.RData"
10,0.01,145.754545454545,0,1,10,100,8.4,2,5e+05,"150327_396.RData"
2,0.01,140.509090909091,0,1,10,100,9,2,5e+05,"150327_397.RData"
10,0.001,140.163636363636,0,1,10,100,8.8,2,5e+05,"150327_39.RData"
2,0.01,142.081818181818,0,1,10,100,9,2,5e+05,"150327_400.RData"
2,0.01,146.872727272727,0,1,10,100,8.8,2,5e+05,"150327_403.RData"
5,0.01,147,0,1,10,100,8.8,2,5e+05,"150327_404.RData"
10,0.01,3.96363636363636,34.3545454545455,2,10,100,8.8,2,5e+05,"150327_405.RData"
2,0.01,142.436363636364,0,1,10,100,9,2,5e+05,"150327_406.RData"
10,0.01,3.95454545454545,37.9727272727273,2,10,100,9,2,5e+05,"150327_408.RData"
2,0.01,147.063636363636,0,1,10,100,9,2,5e+05,"150327_409.RData"
2,0.001,42.1909090909091,25.6,2,10,100,8.8,2,5e+05,"150327_40.RData"
5,0.01,7.06363636363636,37.8454545454545,2,10,100,8.4,2,5e+05,"150327_410.RData"
10,0.01,3.73636363636364,38.1181818181818,2,10,100,8.4,2,5e+05,"150327_411.RData"
5,0.01,140.381818181818,0,1,10,100,9,2,5e+05,"150327_413.RData"
2,0.01,142.990909090909,0,1,10,100,9,2,5e+05,"150327_415.RData"
5,0.01,7.10909090909091,36.1363636363636,2,10,100,8.6,2,5e+05,"150327_416.RData"
10,0.01,140.381818181818,0,1,10,100,8.6,2,5e+05,"150327_417.RData"
5,0.01,142.854545454545,0,1,10,100,9,2,5e+05,"150327_419.RData"
5,0.001,145.245454545455,0,1,10,100,9,2,5e+05,"150327_41.RData"
10,0.01,3.62727272727273,35.9,2,10,100,9,2,5e+05,"150327_420.RData"
2,0.01,148.081818181818,0,1,10,100,8,2,5e+05,"150327_421.RData"
5,0.01,138.681818181818,0,1,10,100,8.8,2,5e+05,"150327_422.RData"
