"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
2,0.001,16.3363636363636,34.2909090909091,2,10,100,8.4,2,5e+05,"150527_238.RData"
5,0.001,7.39090909090909,34.9454545454545,2,10,100,8.8,2,5e+05,"150527_239.RData"
5,0.001,7.07272727272727,34.9545454545455,2,10,100,8.8,2,5e+05,"150527_23.RData"
10,0.001,4.00909090909091,36.1090909090909,2,10,100,8.6,2,5e+05,"150527_240.RData"
2,0.001,16.2454545454545,32.6363636363636,2,10,100,9,2,5e+05,"150527_241.RData"
5,0.001,7.24545454545455,34.1636363636364,2,10,100,8.8,2,5e+05,"150527_242.RData"
10,0.001,4.10909090909091,34.7090909090909,2,10,100,8.8,2,5e+05,"150527_243.RData"
2,0.001,16.1727272727273,33.4363636363636,2,10,100,8.8,2,5e+05,"150527_244.RData"
5,0.001,7.97272727272727,34.2545454545455,2,10,100,8.8,2,5e+05,"150527_245.RData"
10,0.001,4.14545454545455,34.3181818181818,2,10,100,9,2,5e+05,"150527_246.RData"
2,0.001,16.4454545454545,33.5818181818182,2,10,100,9,2,5e+05,"150527_247.RData"
5,0.001,7.89090909090909,33.4545454545455,2,10,100,8.4,2,5e+05,"150527_248.RData"
10,0.001,17.5454545454545,32.6545454545455,2,10,100,9,2,5e+05,"150527_249.RData"
10,0.001,3.55454545454545,35.1545454545455,2,10,100,8.6,2,5e+05,"150527_24.RData"
2,0.001,16.2636363636364,32.4818181818182,2,10,100,9,2,5e+05,"150527_250.RData"
5,0.001,7.51818181818182,36.1363636363636,2,10,100,9,2,5e+05,"150527_251.RData"
10,0.001,16.2454545454545,33.5545454545455,2,10,100,8.6,2,5e+05,"150527_252.RData"
2,0.001,29.6090909090909,28.7636363636364,2,10,100,8.4,2,5e+05,"150527_253.RData"
5,0.001,21.0090909090909,32.7818181818182,2,10,100,9,2,5e+05,"150527_254.RData"
10,0.001,16.1,32.4818181818182,2,10,100,9,2,5e+05,"150527_255.RData"
2,0.001,17.0818181818182,33.4545454545455,2,10,100,9,2,5e+05,"150527_256.RData"
5,0.001,7.37272727272727,34.5727272727273,2,10,100,9,2,5e+05,"150527_257.RData"
